JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Senior Associate - Sales and Use Tax,RSM US LLP,"Charlotte, NC",30+ days ago,2021-02-02,"Provide excellent client service to multi-state companies with state and local tax issues including compliance, advisory services, planning, technology, and…",,https://www.indeed.com/rc/clk?jk=03248f9ca58dbd81&fccid=198b7374e1f8a26f&vjs=3
Audit Supervisor/Senior Auditor,Bank of America,"Charlotte, NC",30+ days ago,2021-02-02,Ability to successfully communicate to influence management and lead change in both strategic and tactical initiatives. Bachelors degree or relevant experience.,,https://www.indeed.com/rc/clk?jk=acc874a635789daa&fccid=5bd99dfa21c8a490&vjs=3
Tax Senior Manager,CohnReznick,"Charlotte, NC",Today,2021-02-02,Identify opportunities to expand the scope of current engagements through identification of current client needs and target client requirements.,,https://www.indeed.com/rc/clk?jk=48b68772d1c974eb&fccid=f0bade0760e83581&vjs=3
Transfer Pricing (TP) Senior - Financial Services Organization,Ernst & Young,"Charlotte, NC",6 days ago,2021-02-02,"The Transfer Pricing (TP) competency addresses planning, documentation and controversy issues associated with all types of intercompany transactions, assisting…",,https://www.indeed.com/rc/clk?jk=984a5f94fbe785df&fccid=1544766d4c2915b0&vjs=3
Senior Revenue Accounting Manager,Intapp,"Charlotte, NC",30+ days ago,2021-02-02,"Responsible for the monthly revenue close process by running rev/ recognition schedules in NetSuite, booking journal entries for manual adjustments, tracking…",,https://www.indeed.com/rc/clk?jk=6dade48a06f9b233&fccid=1b9cc153aeba1024&vjs=3
"Senior Manager, Sales and Use Tax",Xylem,"Charlotte, NC",30+ days ago,2021-02-02,"Lead and participate in tax dispute planning and resolution. The Role: Direct and manage sales and use tax organization in the United States and Canada, which…",,https://www.indeed.com/rc/clk?jk=09a3e74db0562b93&fccid=68ec8a8ee6cf5ac6&vjs=3
Tax Senior,Elliott Davis,"Charlotte, NC",30+ days ago,2021-02-02,2+ years recent accounting firm experience. This role will work closely with domestic and multinational businesses. Apply tax knowledge to complex tax returns.,,https://www.indeed.com/rc/clk?jk=d5dd231168d98369&fccid=a3b99287cfeec2b7&vjs=3
"Tax Senior Associate, Insurance",Dixon Hughes Goodman,"Charlotte, NC",30+ days ago,2021-02-02,"Manage client work flow through proactive communication with client personnel, appropriate delegation to staff, and proper planning with senior managers and…",,https://www.indeed.com/rc/clk?jk=d4e4f2aedc2fb422&fccid=8f2022a14c83ea0a&vjs=3
"Senior Associate, M&A Tax",KPMG,"Charlotte, NC",9 days ago,2021-02-02,"A minimum of three years of experience in federal tax and/or mergers and acquisition in a public accounting firm, corporate tax department, or law firm.",,https://www.indeed.com/rc/clk?jk=86251f5976415072&fccid=2dd390c3a48a7ed0&vjs=3
Senior Tax Associate- High Net Worth,Red Ventures,"Charlotte, NC",30+ days ago,2021-02-02,"Solid knowledge in high-net-worth person compliance and consulting matters, including tax planning and tax return compliance.",,https://www.indeed.com/rc/clk?jk=280f3e3ba4683114&fccid=c39dcf34372f1519&vjs=3
Tax Services Senior - Financial Services - Banking & Capital Markets,Ernst & Young,"Charlotte, NC",6 days ago,2021-02-02,"Engagements may involve tax accounting, tax compliance, federal/state/international tax planning, process improvements, information reporting and withholding.",,https://www.indeed.com/rc/clk?jk=e6fd9ebe977abb85&fccid=1544766d4c2915b0&vjs=3
Audit Senior Manager,Elliott Davis,"Charlotte, NC",30+ days ago,2021-02-02,Develop new business for firm through associations. 8+ years recent audit experience at a public accounting firm. Maintain client contact throughout the year.,,https://www.indeed.com/rc/clk?jk=731ae168cae5dab0&fccid=a3b99287cfeec2b7&vjs=3
Senior Audit Manager - Financial Crimes Audit Team - BSA/AML,Wells Fargo,"Charlotte, NC",1 day ago,2021-02-02,Experience at a financial institution or accounting firm. Responsible for resource management and assisting broader team in overall audit plan completion.,,https://www.indeed.com/rc/clk?jk=63523392233dde87&fccid=78bbcd26e39621f5&vjs=3
